Date,Price,Open,High,Low,Vol.,Change %,
3-Mar-12,4.6,4.7,4.8,4.5,40.08K,-1.91%,595
2-Mar-12,4.7,4.9,4.9,4.5,130.77K,-4.47%,594
1-Mar-12,4.9,4.9,5,4.9,44.18K,1.23%,593
29-Feb-12,4.9,4.9,4.9,4.8,26.54K,0.00%,592
28-Feb-12,4.9,5,5,4.7,62.69K,-1.81%,591
27-Feb-12,5,4.9,5,4.9,29.37K,0.00%,590
26-Feb-12,4.9,4.8,5.1,4.8,70.04K,3.14%,589
25-Feb-12,4.8,5,5.1,4.7,86.16K,-5.17%,588
24-Feb-12,5,5,5.1,4.8,89.83K,0.00%,587
23-Feb-12,5,4.4,5.2,4.4,164.31K,13.35%,586
22-Feb-12,4.4,4.3,4.5,4.3,103.84K,3.51%,585
21-Feb-12,4.3,4.4,4.4,4.2,51.79K,-2.06%,584
20-Feb-12,4.4,4.4,4.5,4.3,37.30K,0.00%,583
19-Feb-12,4.4,4.2,4.5,4.2,62.37K,4.03%,582
18-Feb-12,4.2,4.4,4.5,4.1,70.41K,-4.31%,581
17-Feb-12,4.4,4.3,4.8,4.2,135.95K,3.28%,580
16-Feb-12,4.3,4.3,4.4,3.9,166.60K,-1.39%,579
15-Feb-12,4.3,4.5,4.9,4.2,161.80K,-2.91%,578
14-Feb-12,4.5,5.3,5.4,4.2,297.57K,-15.21%,577
13-Feb-12,5.3,5.5,5.7,5.2,170.21K,-4.54%,576
12-Feb-12,5.5,5.6,5.8,5.4,81.92K,-1.61%,575
11-Feb-12,5.6,5.9,6,5.5,69.71K,-5.25%,574
10-Feb-12,5.9,5.8,6,5.8,39.31K,1.37%,573
9-Feb-12,5.8,5.6,5.9,5.5,89.95K,4.11%,572
8-Feb-12,5.6,5.7,5.8,5.3,237.94K,-1.58%,571
7-Feb-12,5.7,5.4,5.8,5.4,72.75K,4.40%,570
6-Feb-12,5.4,5.7,5.7,5.4,90.26K,-4.22%,569
5-Feb-12,5.7,5.9,5.9,5.4,120.34K,-3.07%,568
4-Feb-12,5.9,6,6,5.8,20.62K,-1.51%,567
3-Feb-12,6,6.1,6.1,5.7,59.28K,-2.30%,566
2-Feb-12,6.1,6.1,6.2,5.8,54.55K,0.00%,565
1-Feb-12,6.1,5.5,6.2,5.5,115.52K,10.95%,564
31-Jan-12,5.5,5.5,5.7,5.4,48.30K,0.00%,563
30-Jan-12,5.5,5.4,5.6,5.4,42.30K,2.04%,562
29-Jan-12,5.4,5.6,5.7,5.3,46.43K,-4.44%,561
28-Jan-12,5.6,5.3,5.8,5.3,89.71K,6.43%,560
27-Jan-12,5.3,5.3,5.5,5.1,115.57K,-0.94%,559
26-Jan-12,5.3,5.8,5.9,5.3,123.95K,-7.13%,558
25-Jan-12,5.8,6.3,6.3,5.5,133.12K,-8.59%,557
24-Jan-12,6.3,6.4,6.4,6.2,35.66K,-1.10%,556
23-Jan-12,6.4,6.3,6.4,6.2,17.69K,0.79%,555
22-Jan-12,6.3,6.2,6.4,6.1,44.89K,2.10%,554
21-Jan-12,6.2,6.5,6.6,6.1,64.76K,-4.78%,553
20-Jan-12,6.5,6.4,6.6,6.3,66.79K,2.04%,552
19-Jan-12,6.4,5.9,6.4,5.9,114.82K,7.43%,551
18-Jan-12,5.9,5.6,6.9,5.1,226.68K,5.71%,550
17-Jan-12,5.6,6.7,6.9,4.6,213.41K,-16.17%,549
16-Jan-12,6.7,7,7.2,6.5,122.67K,-4.57%,548
15-Jan-12,7,6.8,7.1,6.7,62.23K,3.70%,547
14-Jan-12,6.8,6.4,6.9,6.2,141.90K,5.30%,546
13-Jan-12,6.4,6.8,6.8,6.4,60.23K,-5.74%,545
12-Jan-12,6.8,6.9,7,6.3,140.12K,-1.45%,544
11-Jan-12,6.9,6.4,7.1,6.4,99.44K,8.49%,543
10-Jan-12,6.4,6.3,6.9,6,110.21K,0.00%,542
9-Jan-12,6.3,7.1,7.2,5.8,148.41K,-10.97%,541
8-Jan-12,7.1,6.8,7.2,6.7,57.19K,4.41%,540
7-Jan-12,6.8,6.7,7,6.4,48.39K,1.64%,539
6-Jan-12,6.7,6.9,7.2,6.1,218.08K,-3.60%,538
5-Jan-12,6.9,5.6,7.2,5.6,182.33K,24.78%,537
4-Jan-12,5.6,4.9,5.7,4.8,131.17K,14.14%,536
3-Jan-12,4.9,5.2,5.3,4.7,125.17K,-6.51%,535
2-Jan-12,5.2,5.3,5.5,4.8,69.15K,-0.95%,534
1-Jan-12,5.3,4.7,5.5,4.6,108.51K,11.65%,533
31-Dec-11,4.7,4.3,5,4.2,129.73K,11.06%,532
30-Dec-11,4.3,4.2,4.3,4.1,41.07K,1.92%,531
29-Dec-11,4.2,4.2,4.3,4.1,53.07K,0.00%,530
28-Dec-11,4.2,4.1,4.3,4,33.84K,2.95%,529
27-Dec-11,4.1,4,4.1,4,30.16K,1.24%,528
26-Dec-11,4,4.2,4.3,3.8,88.83K,-4.74%,527
25-Dec-11,4.2,3.9,4.4,3.8,80.80K,7.11%,526
24-Dec-11,3.9,4,4,3.9,14.93K,0.00%,525
23-Dec-11,4,3.9,4,3.8,20.50K,1.54%,524
22-Dec-11,3.9,3.9,4,3.5,57.21K,0.00%,523
21-Dec-11,3.9,4,4,3.8,48.79K,-1.52%,522
20-Dec-11,4,3.5,4.5,3.5,186.41K,12.22%,521
19-Dec-11,3.5,3.2,3.7,3.2,139.99K,10.34%,520
18-Dec-11,3.2,3.2,3.2,3.2,10.79K,0.00%,519
17-Dec-11,3.2,3.2,3.2,3.2,16.48K,0.00%,518
16-Dec-11,3.2,3.2,3.2,3.2,29.87K,0.00%,517
15-Dec-11,3.2,3.2,3.2,3.1,30.09K,0.00%,516
14-Dec-11,3.2,3.3,3.3,3,72.48K,-3.08%,515
13-Dec-11,3.3,3.1,3.3,3.1,32.66K,3.50%,514
12-Dec-11,3.1,3.3,3.3,3.1,39.90K,-3.38%,513
11-Dec-11,3.3,3,3.4,3,108.22K,6.56%,512
10-Dec-11,3,3,3.1,2.9,74.31K,2.69%,511
